24596,74
24596,26
24596,39
24596,66
24596,33
24596,73
5800,65
5800,35
5800,37
5800,74
21542,74
21542,26
21542,44
5997,74
5997,35
5997,30
25510,74
25510,48
25510,26
25510,33
25510,16
21466,74
21466,26
21466,33
21466,73
3461,26
3461,33
3461,16
3461,74
24588,35
24588,33
24588,37
24588,25
24588,74
3450,35
3450,41
3450,66
3450,37
6339,74
6339,41
6339,39
25739,74
25739,21
25739,26
25739,66
25739,33
25739,73
6301,48
6301,33
2580,65
2580,37
25733,74
25733,30
25733,26
25733,41
24625,30
24625,34
24625,46
6312,30
6312,41
6312,74
2576,66
2576,26
2576,33
2576,74
6446,65
6446,35
6446,37
6446,74
5998,57
5998,26
5998,18
21421,28
21421,73
21421,74
5852,48
5852,33
6402,48
6402,26
6402,33
6402,74
3863,48
3863,26
3863,33
3863,74
6360,35
6360,48
6360,33
1733,65
1733,26
1733,44
1733,48
5050,26
5050,33
5050,48
5050,74
2543,65
2543,26
2543,30
2543,74
2543,74
21911,35
21911,74
21911,45
21911,74
5626,48
5626,26
5626,33
5626,74
5857,21
5857,30
5857,33
5857,74
22087,65
22087,35
22087,18
22189,35
22189,37
22189,46
6012,35
6012,41
6012,37
6012,44
6012,74
24049,74
24049,48
24049,33
5849,48
5849,33
5849,18
5851,48
5851,21
5851,26
5851,33
5861,33
5861,74
5861,50
5856,48
5856,26
5856,33
5856,74
6499,16
6499,18
5633,48
5633,26
5633,33
5633,18
5633,34
5633,39
835,64
835,37
835,44
835,6
835,18
1586,26
1586,48
6311,35
6311,41
6311,74
1699,28
1699,70
1699,6
1699,30
21464,26
21464,33
21464,46
6434,48
6434,33
6434,74
25617,74
25617,48
25617,57
25617,26
25617,41
25617,33
25617,73
425,41
425,33
425,26
425,74
23850,35
23850,66
23850,37
23850,74
24567,35
24567,74
5550,44
5550,6
5550,56
5550,74
21554,74
21554,74
21554,48
23858,48
23858,33
23858,16
23858,74
22504,37
184,21
184,26
184,39
1512,21
1512,30
1512,74
3398,30
3398,34
3398,41
3398,37
3398,55
3494,48
3494,26
3494,33
3494,18
1588,26
1588,33
1588,48
1588,18
23856,35
23856,30
23856,37
23856,74
3042,33
3042,74
3042,50
24267,35
24267,66
24267,46
5843,34
5843,33
5843,74
24971,65
24971,35
24971,44
24971,45
24438,35
24438,6
24438,57
24438,74
3043,26
3043,18
1689,65
1689,17
1689,74
22088,48
22088,57
22088,26
22088,33
6014,35
6014,17
6159,26
6159,74
5430,35
5430,33
5430,18
5352,48
5352,33
6357,30
6357,33
6357,74
6352,48
6352,33
6352,18
6018,48
6018,17
6018,65
6018,74
6483,48
6483,33
6483,74
6483,18
5975,26
5975,33
5975,56
5975,74
25469,65
25469,37
25469,17
25469,27
25469,16
25469,74
5877,48
5877,26
5877,33
6038,28
6038,18
5017,48
5017,62
963,66
963,57
963,41
963,33
963,48
5978,48
1650,38
1650,26
1650,33
1650,48
1650,25
3495,21
3495,26
3495,41
6001,74
6001,26
6001,73
5989,30
5989,41
5989,18
5747,33
5747,46
5793,37
5793,74
5793,56
1660,26
1660,37
1660,44
1660,6
1660,56
21729,48
21729,33
21729,74
21469,66
21469,35
21469,41
21469,74
6463,26
6463,74
2572,26
2572,37
2572,41
2572,33
687,41
687,6
687,30
687,74
687,16
3365,30
3365,26
3365,33
3462,48
3462,26
3462,33
3271,48
3271,41
3271,33
3271,37
3271,4
5977,6
5977,26
5977,37
5977,44
1559,62
1559,48
1700,26
1700,74
5855,48
5855,26
5855,33
5855,46
5844,57
5844,33
5844,26
5844,74
5291,48
5291,33
5291,18
6064,6
6064,44
6064,18
2967,65
2967,17
2967,74
3252,48
3252,26
3252,33
3252,74
23836,48
23836,74
5559,65
5559,17
5559,74
24709,65
24709,35
24709,74
5876,57
5876,33
5876,18
5876,48
5876,40
5147,48
5147,26
5147,33
5147,73
5147,18
6358,48
6358,26
6358,33
6358,74
24638,35
24638,45
24638,74
3506,26
3506,18
25823,18
25823,35
25823,48
25823,17
24364,65
24364,35
24364,30
24364,37
24364,44
24364,74
22098,48
22098,26
22098,33
3023,48
3023,33
3023,18
1539,37
1539,41
1539,39
1539,30
1539,74
1539,4
1552,64
1552,57
1552,37
1552,28
1552,6
5394,48
5394,33
6310,74
6310,26
6310,62
21557,30
21557,41
21557,74
2732,26
2732,33
2732,74
2732,56
24627,74
24627,21
24627,26
24627,66
24627,33
24627,73
24627,56
53,35
53,41
53,28
53,74
53,30
4188,21
4188,33
2731,26
2731,33
2731,74
21720,74
21720,65
21720,35
21720,37
5996,35
5996,21
5996,30
5996,56
5996,74
6304,74
6304,40
6304,26
6304,73
21719,35
21719,74
1587,26
1587,48
4340,30
1672,28
1672,41
1672,44
1672,6
1672,74
1672,74
2680,35
2680,41
2680,37
2680,74
2660,21
2660,65
2660,41
2660,37
2660,30
2660,74
23880,68
6491,48
6491,26
6491,35
6491,66
6491,73
5613,48
5613,33
5613,73
5613,74
2542,26
2542,18
23837,26
23837,33
23837,18
2647,35
2647,45
21767,48
21767,33
662,49
662,35
662,26
662,33
662,74
2960,17
2960,74
6355,48
6355,33
6355,46
348,26
348,48
348,57
348,33
348,18
6057,48
6057,26
6057,33
6057,46
2631,39
2631,57
2631,34
2631,74
5854,48
5854,26
5854,74
5839,44
5839,37
5839,18
6353,74
6353,26
6353,65
6353,30
25567,30
25567,28
25567,74
5602,26
5602,34
5602,49
5602,74
24333,30
24333,2
24333,26
24333,33
24333,25
24333,18
2688,6
2688,37
6439,26
6439,33
6439,74
2722,21
2722,41
2722,26
2722,33
1177,38
1177,41
1177,44
1177,6
1177,46
1177,30
6341,44
6341,56
25613,65
25613,35
25613,37
25613,74
24581,35
24581,41
24581,55
24581,68
24581,25
24581,74
5058,48
5058,26
5058,33
844,65
844,35
844,37
844,74
5070,26
5070,41
5070,45
5070,66
5070,74
5069,41
5069,35
5069,66
5069,37
5069,74
24173,44
24173,6
24173,16
5572,26
5572,33
5572,74
6432,65
6432,28
6432,37
6432,74
6447,35
6447,37
6447,56
6447,74
6425,65
6425,74
6425,37
6425,44
2743,21
2743,41
2743,66
2743,33
6420,74
6420,48
6420,33
25681,48
25681,39
25681,33
25681,74
2725,26
2725,33
2725,25
2725,18
959,26
959,41
959,33
959,6
959,18
21769,74
25813,30
25813,62
26191,74
26191,35
26191,37
24710,30
24710,70
24710,37
24710,16
5831,35
5831,16
5831,74
5831,50
5451,65
5451,17
5451,74
6015,35
6015,37
6015,25
6015,41
2632,57
2632,48
2632,33
